,name,list_categories
56,"THE CARRINGTON TEA CO LLC, DBA CARRINGTON CO, LLC",['Jewelry']
57,SIMPLE MILLS,"['Outerwear', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie']"
58,OCEAN´S HALO,"['Shoes', 'Swimwear', 'Accessories', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Accessories', 'Dresses']"
59,ACURE,['Vitamins and supplements']
60,RADIUS,['Shoes']
61,SOLARAY,['Food And Drinks']
62,LANE LABS,"['Moisturiser', 'Oral Care', 'Essential Oils and Aromatherapy', 'Exfoliator', 'Body soap']"
63,ORGANIC FIJI,"['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Accessories']"
64,"PETIT POT, INC",['Soups']
65,BRANDSTORM INC,['Food And Drinks']
66,HICKORY HARVEST FOODS,"['Shoes', 'Accessories', 'Outerwear', 'Accessories', 'Hats', 'Accessories', 'Gloves', 'Apparel']"
67,SOMERSAULT,"['Herbs spices.', 'Vitamins and supplements']"
68,LIDTKE TECHNOLOGIES,"['Tops And Sweaters', 'Suits And Uniforms', 'Traditional Clothing']"
69,FRONTIER,['Home & Interiors']
70,HALO PURELY FOR PETS,"['Outerwear', 'Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts', 'Dresses']"
71,BANANA REPUBLIC,"['Vitamins and supplements', 'Cosmetics']"
72,MOMMY´S BLISS,['Vitamins and supplements']
73,SATUR FARMS LLC,['Underwear And Lingerie']
74,"PINES INTERNATIONAL, INC","['Apparel', 'Jeans']"
75,AG JEANS,"['Canned and baked food', 'Condiments and Sauces']"
76,CUCINA & AMORE,"['Vitamins and supplements', 'Oil', 'Herbs spices.']"
77,NUTRIGOLD,['Suits And Uniforms']
78,STRAW PROPELLER,['Grain products and nuts']
79,ASARASI,"['Watches', 'Jewelry', 'Watches']"
80,PERFECTLY HEALTHY,"['Vitamins and supplements', 'Herbs spices.']"
